RHC,391,0.117,0.118,11.155,0.284
SA,391,0.883,0.882,11.913,0.149
GA,391,0.117,0.118,1182.667,0.103
RHC,406,0.117,0.118,13.036,0.321
SA,406,0.117,0.118,11.713,0.131
GA,406,0.117,0.118,1181.689,0.114
RHC,376,0.177,0.178,12.559,0.397
SA,376,0.883,0.882,12.593,0.133
GA,376,0.117,0.118,1212.854,0.197
RHC,386,0.117,0.118,10.611,0.238
SA,386,0.883,0.882,12.423,0.136
GA,386,0.117,0.118,1241.263,0.197
RHC,381,0.117,0.118,12.893,0.359
SA,381,0.883,0.882,11.241,0.136
GA,381,0.117,0.118,1242.262,0.180
RHC,396,0.117,0.118,11.519,0.260
SA,396,0.117,0.118,12.616,0.187
GA,396,0.117,0.118,1253.574,0.158
RHC,401,0.883,0.882,12.432,0.400
SA,401,0.446,0.447,11.357,0.161
GA,401,0.117,0.118,1295.761,0.137
RHC,411,0.883,0.882,21.209,0.378
SA,411,0.758,0.752,19.303,0.233
GA,411,0.117,0.118,1229.205,0.112
RHC,416,0.883,0.882,20.481,0.375
SA,416,0.117,0.118,20.230,0.223
GA,416,0.117,0.118,1264.486,0.096
RHC,426,0.117,0.118,22.418,0.373
SA,426,0.270,0.273,19.744,0.204
GA,426,0.117,0.118,1269.201,0.085
RHC,421,0.117,0.118,20.625,0.418
SA,421,0.117,0.118,20.771,0.216
GA,421,0.117,0.118,1290.673,0.082
RHC,431,0.117,0.118,24.491,0.355
SA,431,0.138,0.139,19.512,0.197
GA,431,0.117,0.118,1294.152,0.076
RHC,441,0.117,0.118,21.773,0.371
SA,441,0.134,0.135,21.162,0.217
GA,441,0.117,0.118,1309.053,0.055
RHC,436,0.117,0.118,23.017,0.372
SA,436,0.117,0.118,21.486,0.192
GA,436,0.117,0.118,1312.221,0.169
RHC,446,0.716,0.714,19.766,0.292
SA,446,0.741,0.739,14.678,0.144
GA,446,0.117,0.118,1251.632,0.092
RHC,466,0.117,0.118,19.974,0.403
SA,466,0.883,0.882,14.506,0.140
GA,466,0.117,0.118,1301.161,0.083
RHC,456,0.117,0.118,21.273,0.399
SA,456,0.369,0.369,13.992,0.148
GA,456,0.117,0.118,1311.206,0.077
RHC,451,0.117,0.118,21.433,0.375
SA,451,0.174,0.175,15.717,0.153
GA,451,0.117,0.118,1318.128,0.071
RHC,476,0.117,0.118,20.627,0.465
SA,476,0.130,0.131,15.299,0.161
GA,476,0.117,0.118,1341.052,0.051
RHC,461,0.117,0.118,20.458,0.461
SA,461,0.367,0.367,14.815,0.140
GA,461,0.117,0.118,1343.647,0.213
RHC,471,0.117,0.118,20.428,0.476
SA,471,0.117,0.118,15.171,0.143
GA,471,0.117,0.118,1346.103,0.132
RHC,481,0.117,0.118,11.322,0.229
SA,481,0.883,0.882,12.004,0.136
GA,481,0.117,0.118,1231.675,0.112
RHC,496,0.117,0.118,12.060,0.223
SA,496,0.117,0.118,12.073,0.110
GA,496,0.117,0.118,1265.787,0.093
RHC,486,0.117,0.118,12.940,0.347
SA,486,0.153,0.152,11.284,0.103
GA,486,0.117,0.118,1281.643,0.086
RHC,491,0.128,0.128,12.035,0.238
SA,491,0.220,0.219,12.760,0.113
GA,491,0.117,0.118,1288.576,0.069
RHC,501,0.117,0.118,12.660,0.340
SA,501,0.692,0.689,12.792,0.124
GA,501,0.117,0.118,1310.065,0.077
RHC,506,0.117,0.118,13.317,0.263
SA,506,0.117,0.118,12.881,0.110
GA,506,0.117,0.118,1315.320,0.061
RHC,511,0.117,0.118,12.842,0.353
SA,511,0.232,0.234,12.512,0.123
GA,511,0.117,0.118,1350.526,0.052
RHC,516,0.117,0.118,14.995,0.442
SA,516,0.883,0.882,15.688,0.128
GA,516,0.117,0.118,1496.733,0.107
RHC,531,0.261,0.259,15.137,0.440
SA,531,0.117,0.118,16.363,0.145
GA,531,0.117,0.118,1584.155,0.107
RHC,536,0.117,0.118,15.356,0.427
SA,536,0.117,0.118,15.778,0.125
GA,536,0.117,0.118,1604.256,0.087
RHC,546,0.117,0.118,15.835,0.346
SA,546,0.883,0.881,16.470,0.121
GA,546,0.117,0.118,1610.109,0.084
RHC,526,0.117,0.118,15.811,0.321
SA,526,0.117,0.118,15.660,0.141
GA,526,0.117,0.118,1616.404,0.152
RHC,541,0.117,0.118,16.662,0.281
SA,541,0.130,0.130,16.780,0.124
GA,541,0.117,0.118,1635.612,0.140
RHC,521,0.814,0.812,14.794,0.465
SA,521,0.883,0.882,14.901,0.144
GA,521,0.117,0.118,1670.626,0.170
RHC,551,0.117,0.118,21.134,0.448
SA,551,0.883,0.882,18.076,0.144
GA,551,0.117,0.118,1616.425,0.105
RHC,566,0.117,0.118,21.265,0.362
SA,566,0.883,0.882,20.554,0.150
GA,566,0.117,0.118,1648.808,0.099
RHC,581,0.117,0.118,23.986,0.299
SA,581,0.883,0.882,19.971,0.145
GA,581,0.117,0.118,1688.691,0.081
RHC,571,0.117,0.118,21.507,0.443
SA,571,0.647,0.647,19.189,0.139
GA,571,0.117,0.118,1744.092,0.164
RHC,561,0.117,0.118,21.976,0.324
SA,561,0.346,0.339,18.222,0.163
GA,561,0.117,0.118,1755.483,0.180
RHC,556,0.117,0.118,19.301,0.271
SA,556,0.873,0.872,19.458,0.149
GA,556,0.117,0.118,1807.206,0.142
RHC,576,0.117,0.118,23.221,0.301
SA,576,0.117,0.118,20.556,0.166
GA,576,0.117,0.118,1831.308,0.184
RHC,586,0.117,0.118,27.455,0.430
SA,586,0.117,0.118,26.366,0.174
GA,586,0.117,0.118,1516.955,0.110
RHC,606,0.117,0.118,26.892,0.499
SA,606,0.883,0.882,27.746,0.178
